,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year,discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type,date,sexe
3795,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Jessica ROSSI', 'https://olympics.com/en/athletes/jessica-rossi'), ('Mauro DE FILIPPIS', 'https://olympics.com/en/athletes/mauro-de-filippis')]",False,12,Italy,IT,ITA,,,,,2020,
3828,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,21,Italy,IT,ITA,https://olympics.com/en/athletes/sofia-ceccarello,Sofia CECCARELLO,,,2020,Woman
3865,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,19,Italy,IT,ITA,https://olympics.com/en/athletes/marco-de-nicolo,Marco DE NICOLO,,,2020,Man
3873,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,30,Italy,IT,ITA,https://olympics.com/en/athletes/lorenzo-bacci,Lorenzo BACCI,,,2020,Man
3884,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,16,Italy,IT,ITA,https://olympics.com/en/athletes/riccardo-mazzetti,Riccardo MAZZETTI,,,2020,Man
3901,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,14,Italy,IT,ITA,https://olympics.com/en/athletes/tommaso-chelli,Tommaso CHELLI,,,2020,Man
3909,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle Men,tokyo-2020,Athlete,,,False,34,Italy,IT,ITA,https://olympics.com/en/athletes/lorenzo-bacci,Lorenzo BACCI,,,2020,Man
3929,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle Men,tokyo-2020,Athlete,,,False,35,Italy,IT,ITA,https://olympics.com/en/athletes/marco-suppini,Marco SUPPINI,,,2020,Man
3999,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle women,tokyo-2020,Athlete,,,False,10,Italy,IT,ITA,https://olympics.com/en/athletes/sofia-ceccarello,Sofia CECCARELLO,,,2020,Woman
4022,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Men,tokyo-2020,Athlete,,,False,10,Italy,IT,ITA,https://olympics.com/en/athletes/mauro-de-filippis,Mauro DE FILIPPIS,,,2020,Man
4052,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Skeet women,tokyo-2020,Athlete,,,False,20,Italy,IT,ITA,https://olympics.com/en/athletes/chiara-cainero,Chiara CAINERO,,,2020,Woman
4053,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Skeet women,tokyo-2020,Athlete,SILVER,,False,2,Italy,IT,ITA,https://olympics.com/en/athletes/diana-bacosi,Diana BACOSI,,,2020,Woman
4065,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap women,tokyo-2020,Athlete,,,False,8,Italy,IT,ITA,https://olympics.com/en/athletes/jessica-rossi,Jessica ROSSI,,,2020,Woman
4071,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap women,tokyo-2020,Athlete,,,False,5,Italy,IT,ITA,https://olympics.com/en/athletes/silvana-stanco,Silvana STANCO,,,2020,Woman
4159,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle Mixed Team,tokyo-2020,GameTeam,,"[('Sofia CECCARELLO', 'https://olympics.com/en/athletes/sofia-ceccarello'), ('Marco SUPPINI', 'https://olympics.com/en/athletes/marco-suppini')]",False,24,Italy,IT,ITA,,,,,2020,
