,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year,discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type,date,sexe
3786,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,BRONZE,"[('Madelynn Ann BERNAU', 'https://olympics.com/en/athletes/madelynn-ann-bernau'), ('Brian BURROWS', 'https://olympics.com/en/athletes/brian-burrows')]",False,3,United States of America,US,USA,,,,,2020,
3795,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Jessica ROSSI', 'https://olympics.com/en/athletes/jessica-rossi'), ('Mauro DE FILIPPIS', 'https://olympics.com/en/athletes/mauro-de-filippis')]",False,12,Italy,IT,ITA,,,,,2020,
3796,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Kayle BROWNING', 'https://olympics.com/en/athletes/kayle-browning'), ('Derrick Scott MEIN', 'https://olympics.com/en/athletes/derrick-scott-mein')]",False,13,United States of America,US,USA,,,,,2020,
3801,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,5,United States of America,US,USA,https://olympics.com/en/athletes/sagen-maddalena,Sagen MADDALENA,,,2020,Woman
3825,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,13,United States of America,US,USA,https://olympics.com/en/athletes/mary-carolynn-tucker,Mary Carolynn TUCKER,,,2020,Woman
3828,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,21,Italy,IT,ITA,https://olympics.com/en/athletes/sofia-ceccarello,Sofia CECCARELLO,,,2020,Woman
3856,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,12,United States of America,US,USA,https://olympics.com/en/athletes/patrick-sunderman,Patrick SUNDERMAN,,,2020,Man
3862,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,26,United States of America,US,USA,https://olympics.com/en/athletes/nickolaus-mowrer,Nickolaus MOWRER,,,2020,Man
3865,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,19,Italy,IT,ITA,https://olympics.com/en/athletes/marco-de-nicolo,Marco DE NICOLO,,,2020,Man
3873,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,30,Italy,IT,ITA,https://olympics.com/en/athletes/lorenzo-bacci,Lorenzo BACCI,,,2020,Man
