,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year,discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type,date,sexe
3786,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,BRONZE,"[('Madelynn Ann BERNAU', 'https://olympics.com/en/athletes/madelynn-ann-bernau'), ('Brian BURROWS', 'https://olympics.com/en/athletes/brian-burrows')]",False,3,United States of America,US,USA,,,,,2020,
3796,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Mixed Team,tokyo-2020,GameTeam,,"[('Kayle BROWNING', 'https://olympics.com/en/athletes/kayle-browning'), ('Derrick Scott MEIN', 'https://olympics.com/en/athletes/derrick-scott-mein')]",False,13,United States of America,US,USA,,,,,2020,
3801,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,5,United States of America,US,USA,https://olympics.com/en/athletes/sagen-maddalena,Sagen MADDALENA,,,2020,Woman
3825,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions women,tokyo-2020,Athlete,,,False,13,United States of America,US,USA,https://olympics.com/en/athletes/mary-carolynn-tucker,Mary Carolynn TUCKER,,,2020,Woman
3856,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,12,United States of America,US,USA,https://olympics.com/en/athletes/patrick-sunderman,Patrick SUNDERMAN,,,2020,Man
3862,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,50m Rifle 3 Positions Men,tokyo-2020,Athlete,,,False,26,United States of America,US,USA,https://olympics.com/en/athletes/nickolaus-mowrer,Nickolaus MOWRER,,,2020,Man
3899,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,25,United States of America,US,USA,https://olympics.com/en/athletes/jack-hobson-leverett-iii,Jack Hobson LEVERETT III,,,2020,Man
3900,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Rapid Fire Pistol Men,tokyo-2020,Athlete,,,False,22,United States of America,US,USA,https://olympics.com/en/athletes/henry-turner-leverett,Henry Turner LEVERETT,,,2020,Man
3914,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle Men,tokyo-2020,Athlete,GOLD,,False,1,United States of America,US,USA,https://olympics.com/en/athletes/william-shaner,William SHANER,,,2020,Man
3939,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle Men,tokyo-2020,Athlete,,,False,6,United States of America,US,USA,https://olympics.com/en/athletes/lucas-kozeniesky,Lucas KOZENIESKY,,,2020,Man
3961,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle women,tokyo-2020,Athlete,,,False,14,United States of America,US,USA,https://olympics.com/en/athletes/alison-marie-weisz,Alison Marie WEISZ,,,2020,Woman
3992,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Rifle women,tokyo-2020,Athlete,,,False,6,United States of America,US,USA,https://olympics.com/en/athletes/mary-carolynn-tucker,Mary Carolynn TUCKER,,,2020,Woman
4016,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Trap Men,tokyo-2020,Athlete,,,False,24,United States of America,US,USA,https://olympics.com/en/athletes/derrick-scott-mein,Derrick Scott MEIN,,,2020,Man
