,game_slug,game_end_date,game_start_date,game_location,game_name,game_season,game_year,discipline_title,event_title,slug_game,participant_type,medal_type,athletes,rank_equal,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type,date,sexe
4109,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,10m Air Pistol women,tokyo-2020,Athlete,,,False,6,Greece,GR,GRE,https://olympics.com/en/athletes/anna-korakaki,Anna KORAKAKI,,,2020,Woman
4196,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,25m Pistol Women,tokyo-2020,Athlete,,,False,6,Greece,GR,GRE,https://olympics.com/en/athletes/anna-korakaki,Anna KORAKAKI,,,2020,Woman
4292,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Shooting,Skeet Men,tokyo-2020,Athlete,,,False,20,Greece,GR,GRE,https://olympics.com/en/athletes/nikolaos-mavrommatis,Nikolaos MAVROMMATIS,,,2020,Man
4881,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Cycling Road,Men's Road Race,tokyo-2020,Athlete,,,False,63,Greece,GR,GRE,https://olympics.com/en/athletes/polychronis-tzortzakis,Polychronis TZORTZAKIS,,,2020,Man
5318,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Artistic Swimming,Duet,tokyo-2020,GameTeam,,"[('Clarissa JOHNSTON', 'https://olympics.com/en/athletes/clarissa-johnston'), ('Laura STRUGNELL', 'https://olympics.com/en/athletes/laura-strugnell')]",False,DNS,Greece,GR,GRE,,,,IRM,2020,
5328,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Artistic Swimming,Team,tokyo-2020,GameTeam,,,False,DNS,Greece,GR,GRE,,,,IRM,2020,
5624,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Table Tennis,Men's Singles,tokyo-2020,Athlete,,,True,17,Greece,GR,GRE,https://olympics.com/en/athletes/gionis,Panagiotis GIONIS,,,2020,Man
5868,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Marathon Swimming,Men's 10km,tokyo-2020,Athlete,,,False,5,Greece,GR,GRE,https://olympics.com/en/athletes/athanasios-kynigakis,Athanasios KYNIGAKIS,1:49:29.2,TIME,2020,Man
6045,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Taekwondo,Women -57kg,tokyo-2020,Athlete,,,True,7,Greece,GR,GRE,https://olympics.com/en/athletes/fani-tzeli,Fani TZELI,,,2020,Woman
6268,tokyo-2020,2021-08-08T14:00:00Z,2021-07-23T11:00:00Z,Japan,Tokyo 2020,Summer,2020,Cycling Track,Men's Omnium,tokyo-2020,Athlete,,,False,,Greece,GR,GRE,https://olympics.com/en/athletes/christos-volikakis,Christos VOLIKAKIS,11,IRM_POINTS,2020,Man
